epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,1195.72,0.99535,1.43036,0.9367,0.97089,1,0.99423,0.72586,0.89194,1.04803,0.9194,0.00046776,0.00046776,0.00046776
111,1205.96,1.0109,1.18205,0.99199,0.97089,1,0.99423,0.72586,0.89194,1.04803,0.9194,0.000456758,0.000456758,0.000456758
112,1216.38,1.01106,1.08841,0.97133,0.97312,0.9994,0.99269,0.71535,0.87614,1.05409,0.91274,0.000445756,0.000445756,0.000445756
113,1226.01,0.92611,0.98148,1.09093,0.97312,0.9994,0.99269,0.71535,0.87614,1.05409,0.91274,0.000434754,0.000434754,0.000434754
114,1236.02,0.91853,1.00943,0.96125,0.99247,1,0.995,0.71058,0.86868,1.05168,0.90922,0.000423751,0.000423751,0.000423751
115,1245.81,1.02584,1.03629,1.06281,0.99247,1,0.995,0.71058,0.86868,1.05168,0.90922,0.000412749,0.000412749,0.000412749
116,1255.72,1.02309,1.05041,1.10057,0.99714,1,0.995,0.69889,0.87077,1.03485,0.9073,0.000401747,0.000401747,0.000401747
117,1266.04,0.8719,1.00432,0.92098,0.99714,1,0.995,0.69889,0.87077,1.03485,0.9073,0.000390745,0.000390745,0.000390745
118,1275.92,0.92436,0.9133,0.99036,0.99693,0.99254,0.995,0.71099,0.85787,1.01822,0.90372,0.000379743,0.000379743,0.000379743
119,1285.51,0.96598,1.15185,1.01411,0.99693,0.99254,0.995,0.71099,0.85787,1.01822,0.90372,0.00036874,0.00036874,0.00036874
120,1295.08,1.03517,0.9145,0.92997,0.99726,0.99124,0.995,0.71142,0.86321,1.0136,0.9059,0.000357738,0.000357738,0.000357738
121,1304.84,0.92837,1.05056,0.97451,0.99726,0.99124,0.995,0.71142,0.86321,1.0136,0.9059,0.000346736,0.000346736,0.000346736
122,1314.7,0.97407,1.11373,1.00931,0.99689,0.99415,0.995,0.72264,0.86606,0.99481,0.90584,0.000335734,0.000335734,0.000335734
123,1324.46,0.99468,1.00354,0.96196,0.99689,0.99415,0.995,0.72264,0.86606,0.99481,0.90584,0.000324732,0.000324732,0.000324732
124,1334.18,0.90089,0.98241,0.95234,0.99779,0.99793,0.995,0.73953,0.8596,0.97885,0.90631,0.000313729,0.000313729,0.000313729
125,1343.88,0.91908,1.13242,0.95882,0.99779,0.99793,0.995,0.73953,0.8596,0.97885,0.90631,0.000302727,0.000302727,0.000302727
126,1353.66,0.84287,0.94592,0.91392,0.99814,0.99902,0.995,0.73301,0.83801,0.96365,0.89892,0.000291725,0.000291725,0.000291725
127,1363.3,1.09794,1.07365,1.08083,0.99814,0.99902,0.995,0.73301,0.83801,0.96365,0.89892,0.000280723,0.000280723,0.000280723
